feature,importance
AMT_REQ_CREDIT_BUREAU_MON,0.07347330949656171
BUREAU_AMT_OVERDUE_MAX,0.06009896130135104
FLAG_DOCUMENT_13,0.057112440335895735
PREV_CANCELED,0.05611003528967334
AMT_REQ_CREDIT_BUREAU_DAY,0.055225345333167204
REGION_RATING_CLIENT,0.05363104093416212
FLAG_EMAIL,0.05118017284642476
REG_REGION_NOT_LIVE_REGION,0.04730989192179382
BUREAU_CNT_PROLONG,0.042616977400285555
CNT_CHILDREN,0.03853707785941515
FLAG_DOCUMENT_8,0.03651070988392141
FLAG_DOCUMENT_11,0.01935650363314147
FLAG_DOCUMENT_18,0.018673558039184013
REG_CITY_NOT_WORK_CITY,0.015582673063239518
EMERGENCYSTATE_MODE,0.014551883760399259
FLAG_OWN_REALTY,0.011928111933778428
REG_REGION_NOT_WORK_REGION,0.011190068192024293
BUREAU_OVERDUE_RATIO,0.00937243278276554
FLAG_DOCUMENT_16,0.009230078795291745
AMT_REQ_CREDIT_BUREAU_HOUR,0.004088341198598525
LIVE_REGION_NOT_WORK_REGION,0.0
FLAG_EMP_PHONE,0.0
FLAG_CONT_MOBILE,0.0
FLAG_MOBIL,0.0
LIVE_CITY_NOT_WORK_CITY,0.0
FLAG_DOCUMENT_20,0.0
FLAG_DOCUMENT_21,0.0
FLAG_DOCUMENT_12,0.0
FLAG_DOCUMENT_10,0.0
FLAG_DOCUMENT_2,0.0
FLAG_DOCUMENT_4,0.0
FLAG_DOCUMENT_5,0.0
FLAG_DOCUMENT_7,0.0
FLAG_DOCUMENT_9,0.0
FLAG_DOCUMENT_6,0.0
FLAG_DOCUMENT_17,0.0
FLAG_DOCUMENT_19,0.0
FLAG_DOCUMENT_15,0.0
FLAG_DOCUMENT_14,0.0
EMPLOYED_ANOMALY,0.0
HIGH_DEBT_FLAG,0.0
YOUNG_FLAG,0.0
LATE_PAYMENT_FLAG,0.0
